epoch,loss
0,4802.8134765625
1,1567.0604248046875
2,958.7499389648438
3,665.8948974609375
4,594.246337890625
5,565.60693359375
6,467.4991455078125
7,435.8970031738281
8,396.0578308105469
9,383.6161804199219
10,361.975341796875
11,349.6263732910156
12,304.73089599609375
13,315.15240478515625
14,328.4341125488281
15,315.71722412109375
16,288.1890869140625
17,299.9589538574219
18,336.0579528808594
19,331.6212463378906
20,272.14581298828125
21,260.49755859375
22,266.4515380859375
23,287.00958251953125
24,248.59375
25,259.6398010253906
26,256.669189453125
27,230.27578735351562
28,250.71693420410156
29,266.19964599609375
30,249.15380859375
31,248.31021118164062
32,246.88540649414062
33,259.7697448730469
34,231.46701049804688
35,227.27459716796875
36,235.54896545410156
37,246.43606567382812
38,215.68075561523438
39,229.5056915283203
40,234.37576293945312
41,265.4098815917969
42,254.25697326660156
43,247.71600341796875
44,216.8964080810547
45,210.78985595703125
46,219.4899139404297
47,231.9127960205078
48,229.8798828125
49,216.951171875
50,219.2567901611328
51,210.41651916503906
52,234.19053649902344
53,206.6002960205078
54,226.09262084960938
55,214.90713500976562
56,213.9664764404297
57,202.95774841308594
58,227.08363342285156
59,220.00732421875
60,203.59169006347656
61,204.49388122558594
62,204.70811462402344
63,220.17697143554688
64,206.52220153808594
65,215.2055206298828
66,205.2871856689453
67,205.04762268066406
68,204.57327270507812
69,215.91793823242188
70,198.64019775390625
71,193.4209747314453
72,206.37977600097656
73,213.76202392578125
74,190.39483642578125
75,231.95933532714844
76,221.45034790039062
77,186.40267944335938
78,185.19212341308594
79,196.37477111816406
80,185.26080322265625
81,188.54762268066406
82,202.59828186035156
83,206.7989959716797
84,239665.578125
85,2418.948974609375
86,1776.97802734375
87,1163.17138671875
88,837.9655151367188
89,632.8932495117188
90,523.6531982421875
91,519.9592895507812
92,468.0672607421875
93,490.0013122558594
94,428.7870788574219
95,362.70343017578125
96,353.5660400390625
97,333.9481201171875
98,351.985595703125
99,352.76690673828125
100,322.70660400390625
101,288.8445739746094
102,299.9452819824219
103,280.3373718261719
104,281.7931823730469
105,271.22491455078125
106,292.7967529296875
107,286.3553161621094
108,280.79248046875
109,284.694580078125
110,270.6859130859375
111,260.1640319824219
112,272.1058349609375
113,275.9589538574219
114,268.21856689453125
115,262.1146545410156
116,245.66091918945312
117,258.0884704589844
118,269.5220031738281
119,257.71551513671875
120,292.1201477050781
121,261.9861755371094
122,239.42013549804688
123,245.74977111816406
124,236.84413146972656
125,232.53704833984375
126,257.0122375488281
127,252.0888214111328
128,236.98927307128906
129,242.23165893554688
130,229.33355712890625
131,227.22288513183594
132,245.69993591308594
133,232.67369079589844
134,221.0142822265625
135,233.36671447753906
136,232.18739318847656
137,239.2092742919922
138,221.318603515625
139,226.76048278808594
140,218.56260681152344
141,221.50453186035156
142,236.74639892578125
143,235.08311462402344
144,236.33126831054688
145,236.9586639404297
146,245.9393768310547
147,227.4788360595703
148,242.51780700683594
149,220.3831787109375
150,231.58726501464844
151,229.271728515625
152,246.4213409423828
153,221.07701110839844
154,215.6399383544922
155,235.92257690429688
156,207.8173370361328
157,217.50205993652344
158,220.1169891357422
159,203.77069091796875
160,220.73776245117188
161,219.2573699951172
162,215.1310577392578
163,222.8201904296875
164,207.76876831054688
165,207.0200958251953
166,219.38961791992188
167,221.0545196533203
168,202.73321533203125
169,221.8687286376953
170,210.05340576171875
171,197.79104614257812
172,222.66461181640625
173,209.20787048339844
174,213.9169464111328
175,212.8310089111328
176,217.62680053710938
177,200.69073486328125
178,221.56349182128906
179,199.5867919921875
180,224.05650329589844
181,206.76983642578125
182,201.94696044921875
183,208.59678649902344
184,214.4036865234375
185,206.7284698486328
186,208.1742706298828
187,199.39529418945312
188,201.8319549560547
189,206.52005004882812
190,208.2892608642578
191,217.81710815429688
192,199.13992309570312
193,205.07923889160156
194,211.08721923828125
195,196.7938995361328
196,195.38429260253906
197,207.5885467529297
198,217.254638671875
199,190.70321655273438
200,202.45196533203125
201,192.44332885742188
202,202.60092163085938
203,189.14678955078125
204,196.05215454101562
205,200.9434051513672
206,198.94117736816406
207,197.74441528320312
208,194.0565643310547
209,203.25579833984375
210,210.37709045410156
211,202.27740478515625
212,204.28916931152344
213,209.7798309326172
214,205.6765594482422
215,216.71629333496094
216,209.62796020507812
217,209.7906951904297
218,208.12660217285156
219,204.76902770996094
220,192.3946075439453
221,181.2986297607422
222,202.96786499023438
223,190.16448974609375
224,197.9822998046875
225,215.05592346191406
226,204.36817932128906
227,187.29803466796875
228,200.39280700683594
229,201.74148559570312
230,212.68765258789062
231,207.05213928222656
232,193.14874267578125
233,190.1241455078125
234,198.6359405517578
235,187.27041625976562
236,197.43905639648438
237,187.35952758789062
238,193.49020385742188
239,197.9998016357422
240,200.28298950195312
241,203.98597717285156
242,186.01541137695312
243,190.22450256347656
244,187.17750549316406
245,189.13482666015625
246,191.21348571777344
247,188.40731811523438
248,198.9041290283203
249,179.94708251953125
250,193.50697326660156
251,199.65896606445312
252,197.6309051513672
253,195.20802307128906
254,198.52540588378906
255,184.11204528808594
256,200.57968139648438
257,191.44439697265625
258,188.61619567871094
259,197.00498962402344
260,197.21327209472656
261,198.6168212890625
262,193.10311889648438
263,188.56607055664062
264,189.5572509765625
265,189.84959411621094
266,204.96661376953125
267,192.1484832763672
268,197.7262420654297
269,183.10792541503906
270,197.65719604492188
271,198.2156524658203
272,194.05931091308594
273,189.7838592529297
274,191.2942657470703
275,189.86949157714844
276,184.41978454589844
277,188.00440979003906
278,202.8371124267578
279,172.68299865722656
280,192.0332794189453
281,186.18023681640625
282,198.44679260253906
283,176.86268615722656
284,199.34487915039062
285,193.79933166503906
286,175.13880920410156
287,173.73446655273438
288,187.94313049316406
289,187.47857666015625
290,192.35447692871094
291,181.48516845703125
292,186.05824279785156
293,181.1199493408203
294,196.61245727539062
295,179.83486938476562
296,181.03955078125
