,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_neurons_hidden_3,param_neurons_hidden_2,param_neurons_hidden_1,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.9395647048950195,0.28268670105835314,0.25559520721435547,0.02262595671368875,152,63,283,"{'neurons_hidden_3': 152, 'neurons_hidden_2': 63, 'neurons_hidden_1': 283}",-435.2720740669648,-419.87630892127754,-485.52306528008273,-389.2977850687864,-346.5367643398505,-415.3011995353924,46.380174634854306,117
1,0.7334726333618165,0.03503270318605762,0.24687085151672364,0.0286743030890081,54,148,25,"{'neurons_hidden_3': 54, 'neurons_hidden_2': 148, 'neurons_hidden_1': 25}",-795.4951919845065,-1754.8458904109589,-384.35568565417805,-691.3394619153274,-1695.11301369863,-1064.2298487327203,556.4995092182697,293
2,0.7286477088928223,0.022389363731176906,0.2666026592254639,0.0291766851645838,279,30,37,"{'neurons_hidden_3': 279, 'neurons_hidden_2': 30, 'neurons_hidden_1': 37}",-488.4664758466655,-488.726304774239,-1905.8561643835617,-407.4481198205069,-472.57576292968747,-752.6145655509321,577.3974400670505,272
3,0.7410531044006348,0.036055173388279446,0.2553393363952637,0.025105210326579166,105,200,144,"{'neurons_hidden_3': 105, 'neurons_hidden_2': 200, 'neurons_hidden_1': 144}",-444.5306633972693,-389.6643444016706,-443.2236368859983,-371.178603375958,-439.5873235597603,-417.6369143241312,30.985848061663773,120
4,0.7480975151062011,0.042746971624578675,0.2575417995452881,0.030031120243466904,254,125,36,"{'neurons_hidden_3': 254, 'neurons_hidden_2': 125, 'neurons_hidden_1': 36}",-1793.4075342465753,-436.8050510036859,-1905.8561643835617,-494.9085865422811,-393.24614696827973,-1004.8446966288768,691.4346932597923,290
5,0.7752550125122071,0.040425919465752636,0.2541485786437988,0.03590196736485468,75,178,193,"{'neurons_hidden_3': 75, 'neurons_hidden_2': 178, 'neurons_hidden_1': 193}",-482.28996365064535,-407.49284641026367,-418.09416788041335,-355.8196996465353,-379.0554479221173,-408.550425101995,42.84904696764743,102
6,0.761345100402832,0.03865195950727418,0.23607864379882812,0.016663709423589357,149,72,154,"{'neurons_hidden_3': 149, 'neurons_hidden_2': 72, 'neurons_hidden_1': 154}",-441.8122013749952,-404.95784322221306,-439.8924733089894,-390.7100113216494,-376.0238638511975,-410.6792786158088,26.287540225160104,110
7,0.7544906616210938,0.018941868353482254,0.2414552688598633,0.020292559970603002,71,232,203,"{'neurons_hidden_3': 71, 'neurons_hidden_2': 232, 'neurons_hidden_1': 203}",-400.37203934267876,-381.53039614340344,-448.37930137570123,-357.2844309409186,-424.8372019976897,-402.4806739600784,31.9141323182291,86
8,0.7081901550292968,0.013454374949173363,0.25100908279418943,0.028642057379386965,23,92,36,"{'neurons_hidden_3': 23, 'neurons_hidden_2': 92, 'neurons_hidden_1': 36}",-508.35148460532855,-902.8850577534681,-703.8450246968134,-1583.0650684931506,-466.7685632492102,-832.9830397595942,405.87797631570754,274
9,0.7580616474151611,0.016328688960850445,0.24815835952758789,0.03333619660841491,192,141,53,"{'neurons_hidden_3': 192, 'neurons_hidden_2': 141, 'neurons_hidden_1': 53}",-433.652116228899,-400.28738778627644,-361.99014330133065,-399.2520025199077,-1695.11301369863,-658.0589327070087,519.0228339345105,210
10,0.7782886505126954,0.028573332443132628,0.2688039779663086,0.03447645778323523,108,289,214,"{'neurons_hidden_3': 108, 'neurons_hidden_2': 289, 'neurons_hidden_1': 214}",-380.7651996731655,-359.40818403769407,-309.63080385655144,-388.0880974903459,-345.56293565365416,-356.69104414228224,27.96863881908788,27
11,0.7663853168487549,0.03136412891886887,0.26762027740478517,0.033817771178100836,60,52,298,"{'neurons_hidden_3': 60, 'neurons_hidden_2': 52, 'neurons_hidden_1': 298}",-439.07536422276087,-471.86886927925235,-373.7530344073882,-609.9154373542757,-386.3324911082586,-456.18903927438714,84.6713323734651,142
12,0.7398391246795655,0.027135245380969845,0.2571727752685547,0.0235326042505895,38,32,89,"{'neurons_hidden_3': 38, 'neurons_hidden_2': 32, 'neurons_hidden_1': 89}",-1793.4075342465753,-476.2518633168806,-464.9008710714438,-1583.0650684931506,-408.475536680862,-945.2201747617826,610.7373612928291,283
13,0.767161226272583,0.031248627592781384,0.25377354621887205,0.025719639020579575,54,67,154,"{'neurons_hidden_3': 54, 'neurons_hidden_2': 67, 'neurons_hidden_1': 154}",-473.46647994505855,-446.7598400140752,-389.60288833003324,-550.7497874952094,-471.12786916489847,-466.34137298985496,51.90508567690022,149
14,0.7571158885955811,0.034603037639770524,0.2762004375457764,0.03165087636123106,67,73,222,"{'neurons_hidden_3': 67, 'neurons_hidden_2': 73, 'neurons_hidden_1': 222}",-440.39316936740545,-408.8911780047976,-1905.8561643835617,-423.8975263459343,-375.4022597740154,-710.8880595751428,597.8683235709217,255
15,0.7918716907501221,0.019666448959783624,0.25222091674804686,0.009342523183398553,49,206,283,"{'neurons_hidden_3': 49, 'neurons_hidden_2': 206, 'neurons_hidden_1': 283}",-375.2829941645597,-379.5697992542768,-365.1238172831653,-1583.0650684931506,-382.2584159854973,-617.0600190361299,483.03770709399055,174
16,0.776461124420166,0.02289397205381526,0.26287193298339845,0.023389344454632557,161,46,61,"{'neurons_hidden_3': 161, 'neurons_hidden_2': 46, 'neurons_hidden_1': 61}",-557.8271619555887,-500.16074595772994,-399.20966757313766,-440.8440719269672,-453.0823054740858,-470.2247905775019,54.3517727675169,151
17,0.8486828804016113,0.028165219472727827,0.25049710273742676,0.010106163400564565,255,245,253,"{'neurons_hidden_3': 255, 'neurons_hidden_2': 245, 'neurons_hidden_1': 253}",-354.9844364924395,-352.4788058845962,-287.761806392651,-373.200300827755,-335.82710888884674,-340.8504916972577,29.06936228851163,10
18,0.7763826847076416,0.03468676342928685,0.2826338291168213,0.03277862336754915,159,46,209,"{'neurons_hidden_3': 159, 'neurons_hidden_2': 46, 'neurons_hidden_1': 209}",-431.86878931195395,-1754.8458904109589,-388.485239483175,-392.67717146656634,-377.06452312565233,-668.9883227596613,543.2424260341489,222
19,0.831361722946167,0.037550336149332966,0.2814579963684082,0.050720885647003514,225,238,185,"{'neurons_hidden_3': 225, 'neurons_hidden_2': 238, 'neurons_hidden_1': 185}",-369.8920838910793,-355.3009166151043,-335.5095890253419,-385.2919943950126,-337.9392574777919,-356.786768280866,18.944402808102833,28
20,0.7911289691925049,0.013525584541444584,0.26579999923706055,0.007244205042654896,141,129,170,"{'neurons_hidden_3': 141, 'neurons_hidden_2': 129, 'neurons_hidden_1': 170}",-422.41393851104687,-410.6844340963837,-416.2211168473424,-388.1490186193627,-381.34052550647306,-403.7618067161217,16.10920359622779,90
21,0.8119125366210938,0.04418848743378869,0.2597157955169678,0.023434555410088577,43,211,193,"{'neurons_hidden_3': 43, 'neurons_hidden_2': 211, 'neurons_hidden_1': 193}",-1793.4075342465753,-389.8018764813716,-420.48184476340776,-379.79530168996433,-364.37344789991477,-669.5720010162468,562.2170802407479,225
22,0.8087003231048584,0.04296799728024615,0.2716390609741211,0.03728639944511484,295,168,218,"{'neurons_hidden_3': 295, 'neurons_hidden_2': 168, 'neurons_hidden_1': 218}",-418.87640863003963,-352.1423844967331,-315.3104870818599,-349.8896707604132,-344.7563231110649,-356.1950548160221,34.02212980573355,25
23,0.7947645664215088,0.03890913481333311,0.2543132781982422,0.02407748436527923,276,77,191,"{'neurons_hidden_3': 276, 'neurons_hidden_2': 77, 'neurons_hidden_1': 191}",-460.4771622153473,-414.15783248612956,-1905.8561643835617,-406.3935740557969,-414.21292092065835,-720.2195308122988,593.1274508104239,264
